street_id,street_address,latitude,longitude,ZEDZ(inside =1),pop_distribution,parcel_delivered(#/year),parcel_delivered(#/day),parcel_delivered(kg/day),USPS_Depot_name,USPS_Depot_parcel(kg),UPS_Depot_name,UPS_Depot_parcel(kg),Amazon_Depot_name,Amazon_Depot_Depot_parcel(kg),FedEX_Depot_name,FedEX_Depot_parcel(kg),USPS_ID,UPS_ID,Amazon_ID,FedEx_ID
1,"10th Court, Santa Monica, CA90403",34.0198901,-118.4884089,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
2,"10th Court, Santa Monica, CA90405",34.0198965,-118.4872614,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
3,"10th Street, Santa Monica, CA90401",34.0198901,-118.4884089,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
4,"10th Street, Santa Monica, CA90402",34.0198901,-118.4884089,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
5,"10th Street, Santa Monica, CA90403",34.0198901,-118.4884089,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
6,"10th Street, Santa Monica, CA90404",34.0198901,-118.4884089,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
7,"10th Street, Santa Monica, CA90405",34.0198901,-118.4884089,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,5,9,10,12
8,"11th Court, Santa Monica, CA90403",34.029789,-118.497364,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,1,9,10,12
9,"11th Street, Santa Monica, CA90401",34.0242925,-118.4916917,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-4,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,4,9,10,12
10,"11th Street, Santa Monica, CA90402",34.0242925,-118.4916917,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-4,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-12,3.996621848,4,9,10,12
