street_id,street_address,latitude,longitude,ZEDZ(inside =1),pop_distribution,parcel_delivered(#/year),parcel_delivered(#/day),parcel_delivered(kg/day),USPS_Depot_name,USPS_Depot_parcel(kg),UPS_Depot_name,UPS_Depot_parcel(kg),Amazon_Depot_name,Amazon_Depot_Depot_parcel(kg),FedEX_Depot_name,FedEX_Depot_parcel(kg)
1,"10th Court, Santa Monica, CA90403",34.0198901,-118.4884089,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
2,"10th Court, Santa Monica, CA90405",34.0198965,-118.4872614,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
3,"10th Street, Santa Monica, CA90401",34.0198901,-118.4884089,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
4,"10th Street, Santa Monica, CA90402",34.0198901,-118.4884089,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
5,"10th Street, Santa Monica, CA90403",34.0198901,-118.4884089,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
6,"10th Street, Santa Monica, CA90404",34.0198901,-118.4884089,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
7,"10th Street, Santa Monica, CA90405",34.0198901,-118.4884089,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
8,"11th Court, Santa Monica, CA90403",34.029789,-118.497364,0,214.7477404,6012.936732,16.47379927,18.12117919,depot-1,6.886048093,depot-9,4.349083006,depot-10,3.80544763,depot-12,3.261812255
9,"11th Street, Santa Monica, CA90401",34.0242925,-118.4916917,0,258.5636307,7239.78166,19.83501825,21.81852007,depot-4,8.291037628,depot-9,5.236444817,depot-10,4.581889215,depot-12,3.927333613
10,"11th Street, Santa Monica, CA90402",34.0242925,-118.4916917,0,258.5636307,7239.78166,19.83501825,21.81852007,depot-4,8.291037628,depot-9,5.236444817,depot-10,4.581889215,depot-12,3.927333613
11,"11th Street, Santa Monica, CA90403",34.0253028,-118.4923773,0,523.3308178,14653.2629,40.14592575,44.16051833,depot-4,16.78099696,depot-9,10.5985244,depot-10,9.273708848,depot-12,7.948893299
12,"11th Street, Santa Monica, CA90404",34.0194353,-118.4836409,0,480.9781197,13467.38735,36.89695165,40.58664682,depot-5,15.42292579,depot-9,9.740795236,depot-10,8.523195832,depot-12,7.305596427
13,"11th Street, Santa Monica, CA90405",34.0185454,-118.4842621,0,480.9781197,13467.38735,36.89695165,40.58664682,depot-5,15.42292579,depot-9,9.740795236,depot-10,8.523195832,depot-12,7.305596427
14,"12th Street, Santa Monica, CA90401",34.018562,-118.4834492,0,480.9781197,13467.38735,36.89695165,40.58664682,depot-5,15.42292579,depot-9,9.740795236,depot-10,8.523195832,depot-12,7.305596427
15,"12th Street, Santa Monica, CA90402",34.018562,-118.4834492,0,480.9781197,13467.38735,36.89695165,40.58664682,depot-5,15.42292579,depot-9,9.740795236,depot-10,8.523195832,depot-12,7.305596427
