logistics_company_id,logistics_company_name,logistics_company_share,depot_id,depot_share,depot_parcel(#),depot_parcel(kg),depot_address,depot_latitude,depot_longitude,ZEDZ(inside =1)
1,USPS,0.38,1,0.130772052,415.55135,457.106485,"1112 Montana Ave, Santa Monica, CA 90403",34.030044,-118.497416,0
1,USPS,0.38,2,0.012862825,467.989383,514.7883213,"1626 Montana Ave, Santa Monica, CA 90403",34.0341588,-118.4924904,0
1,USPS,0.38,3,0.052523201,402.2381004,442.4619105,"1223 Wilshire Blvd, Santa Monica, CA 90403",34.0259349,-118.4903059,0
1,USPS,0.38,4,0.00535951,81.23980969,89.36379066,"1217 Wilshire Blvd, Santa Monica, CA 90403",34.0258613,-118.4904235,0
1,USPS,0.38,5,0.056810809,680.1320055,748.1452061,"1653 7th St, Santa Monica, CA 90404",34.0150398,-118.4875136,1
1,USPS,0.38,6,0.099686892,357.8588912,393.6447804,"2720 Neilson Way Fl 1, Santa Monica, CA 90405",33.9999542,-118.4829612,1
1,USPS,0.38,7,0.003215706,49.99462741,54.99409016,"313 Grand Blvd, Venice, CA 90291",33.9886406,-118.4694269,0
1,USPS,0.38,8,0.015006629,237.2656409,260.992205,"3826 Grand View Blvd, Los Angeles, CA 90066",34.0044458,-118.4301801,0
2,UPS,0.24,9,0.237623762,1700.380932,1870.419025,"10690 Santa Monica Blvd, Los Angeles, CA 90025",34.0519496,-118.4313883,0
3,Amazon Logistics,0.21,10,0.207920792,1487.833315,1636.616647,"5750 Mesmer Ave STE D, Culver City, CA 90230",33.984066,-118.3986511,0
4,FedEx,0.18,11,0.058390454,327.8505026,360.6355528,"408 Wilshire Blvd, Santa Monica, CA 90401",34.019282,-118.4977748,1
4,FedEx,0.18,12,0.036049759,298.5656268,328.4221895,"1006 Wilshire Blvd, Santa Monica, CA 90401",34.0237888,-118.49224,0
4,FedEx,0.18,13,0.004061945,198.3959176,218.2355093,"2300 Wilshire Blvd Suite 102, Santa Monica, CA 90403",34.0332757,-118.4801333,0
4,FedEx,0.18,14,0.071591775,407.3204729,448.0525201,"2309 Santa Monica Blvd, Santa Monica, CA 90404",34.0310722,-118.4774046,0
4,FedEx,0.18,15,0.003554202,43.15317883,47.46849671,"4170 Del Rey Ave, Marina Del Rey, CA 90292",33.987807,-118.443532,0
4,FedEx,0.18,16,0.004569688,0,0,"13488 Maxella Ave Suite 300, Marina Del Rey, CA 90292",33.9858664,-118.442557,0
